branch,id_branch_base,date,hour,event_type,id_event,event,Placa,speed,time,lat,lon,name,odometer,id_truck,month,day_period,day_hour,region,state,city,road,odometer2,km_ran,base_speed
Black Box,99,2019-07-05,20:16:50,SPOKEN ROTOGRAM,217,EXCESS SPEED DRY SPOKEN ROTOGRAM,NRE4134,66,00:00:01,-8.315649,-34.99916,Jensen Ackles,72316.5,ENR5145,2019-07,Night,20,Região Nordeste,Pernambuco,Cabo de Santo Agostinho,Estrada Tdr Norte,72316.5,0.0,60/80
Black Box,99,2019-07-05,15:16:11,SPOKEN ROTOGRAM,217,EXCESS SPEED DRY SPOKEN ROTOGRAM,PMZ7181,56,00:00:02,-4.445627,-47.52861,Andre 3000,37948.5,ZPM8192,2019-07,Afternoon,15,Região Nordeste,Maranhão,Paulistão,Belém-Brasília,37948.5,0.0,40/60
Black Box,99,2019-07-08,15:36:25,SPOKEN ROTOGRAM,217,EXCESS SPEED DRY SPOKEN ROTOGRAM,ORS1864,61,00:00:01,-2.671932,-44.29755,Naveen Andrews,35950.9,SOR2875,2019-07,Afternoon,15,Região Nordeste,Maranhão,São Luís,Avenida Engenheiro Emiliano Macieira,35952.5,1.6,60/80
Black Box,99,2019-07-11,10:29:35,DRY ROAD PRE-INFRINGEMENT,221,DRY OVER SPEED PRE-INFRINGEMENT,HYM5472,80,00:00:01,-3.878908,-38.50073,Naveen Andrews,73903.0,MHY6483,2019-07,Morning,10,Região Nordeste,Ceará,N/D,Rodovia Estrada do Guarani,73903.0,0.0,60/80
Black Box,99,2019-07-11,10:29:39,DRY ROAD PRE-INFRINGEMENT,221,DRY OVER SPEED PRE-INFRINGEMENT,HYM5472,80,00:00:01,-3.879742,-38.50083,Naveen Andrews,73903.0,MHY6483,2019-07,Morning,10,Região Nordeste,Ceará,N/D,Rodovia Estrada do Guarani,74218.0,315.0,60/80
Black Box,99,2019-07-12,20:33:10,SPOKEN ROTOGRAM,217,EXCESS SPEED DRY SPOKEN ROTOGRAM,POF5327,52,00:00:01,-3.714872,-38.47385,Jensen Atwood,4687.7,FPO6338,2019-07,Night,20,Região Nordeste,Ceará,Fortaleza,Avenida Vicente de Castro,4687.7,0.0,40/60
Black Box,99,2019-07-12,20:33:10,SPOKEN ROTOGRAM,217,EXCESS SPEED DRY SPOKEN ROTOGRAM,POF5327,52,00:00:01,-3.714872,-38.47385,Jensen Atwood,4687.7,FPO6338,2019-07,Night,20,Região Nordeste,Ceará,Fortaleza,Avenida Vicente de Castro,4687.7,0.0,40/60
Black Box,99,2019-07-13,01:48:50,SPOKEN ROTOGRAM,217,EXCESS SPEED DRY SPOKEN ROTOGRAM,POF5327,51,00:00:01,-3.71503,-38.47394,Jensen Atwood,4691.7,FPO6338,2019-07,Mid_night,1,Região Nordeste,Ceará,Fortaleza,Avenida Vicente de Castro,4691.7,0.0,40/60
Black Box,99,2019-07-13,01:48:50,SPOKEN ROTOGRAM,217,EXCESS SPEED DRY SPOKEN ROTOGRAM,POF5327,51,00:00:01,-3.71503,-38.47394,Jensen Atwood,4691.7,FPO6338,2019-07,Mid_night,1,Região Nordeste,Ceará,Fortaleza,Avenida Vicente de Castro,4691.7,0.0,40/60
Black Box,99,2019-07-15,17:17:19,DRY SPEED EVENT,229,EXCESS SPEED DRY ROAD SECTION,HUG6024,180,00:00:01,-5.535004,-35.81473,Naveen Andrews,93957.0,GHU7035,2019-07,Afternoon,17,Região Nordeste,Rio Grande do Norte,João Câmara,Avenida Antônio Severiano da Câmara,93978.4,21.4,0/20
Black Box,99,2019-07-25,10:42:13,SPOKEN ROTOGRAM,217,EXCESS SPEED DRY SPOKEN ROTOGRAM,HYA2345,65,00:00:03,-11.46222,-37.73701,Naveen Andrews,77267.9,AHY3356,2019-07,Morning,10,Região Nordeste,Sergipe,Cristinápolis,Rodovia Governador Mário Covas,77323.1,55.2,60/80
Black Box,99,2019-07-25,16:49:12,DRY ROAD PRE-INFRINGEMENT,221,DRY OVER SPEED PRE-INFRINGEMENT,PNR5852,78,00:00:01,-8.177589,-34.95203,Naveen Andrews,1594.2,RPN6863,2019-07,Afternoon,16,Região Nordeste,Pernambuco,Jaboatão dos Guararapes,Rodovia Governador Mário Covas,1595.9,1.7,60/80
Black Box,99,2019-07-25,17:03:32,DRY ROAD PRE-INFRINGEMENT,221,DRY OVER SPEED PRE-INFRINGEMENT,PNR5852,78,00:00:03,-8.299699,-35.0049,Naveen Andrews,1595.9,RPN6863,2019-07,Afternoon,17,Região Nordeste,Pernambuco,Cabo de Santo Agostinho,Estrada Tdr Norte,1597.5,1.6,60/80
Black Box,99,2019-07-27,09:14:53,TELEMETRY,236,ABRUPT BRAKE,HYM5492,0,00:00:00,-19.6403,-42.10655,Naveen Andrews,69448.0,MHY64103,2019-07,Morning,9,Região Sudeste,Minas Gerais,Ubaporanga,Rodovia Santos Dumont,69470.3,22.3,0/20
Black Box,99,2019-08-01,16:19:25,SPOKEN ROTOGRAM,217,EXCESS SPEED DRY SPOKEN ROTOGRAM,PNU7610,57,00:00:02,-12.11728,-38.39319,Naveen Andrews,26033.4,UPN8621,2019-08,Afternoon,16,Região Nordeste,Bahia,Alagoinhas,Rodovia Governador Mário Covas,26110.2,76.8,40/60
Black Box,99,2019-08-05,11:07:35,DRY SPEED EVENT,229,EXCESS SPEED DRY ROAD SECTION,HYC9517,81,00:00:01,-3.755941,-38.64261,Naveen Andrews,2079.3,CHY10528,2019-08,Morning,11,Região Nordeste,Ceará,Caucaia,Rodovia Presidente Juscelino Kubitschek,2079.3,0.0,over 80
Black Box,99,2019-08-05,11:07:36,DRY ROAD PRE-INFRINGEMENT,221,DRY OVER SPEED PRE-INFRINGEMENT,HYC9517,80,00:00:01,-3.755849,-38.64243,Naveen Andrews,2079.3,CHY10528,2019-08,Morning,11,Região Nordeste,Ceará,Caucaia,Rodovia Presidente Juscelino Kubitschek,2079.3,0.0,60/80
Black Box,99,2019-08-05,11:07:56,DRY SPEED EVENT,229,EXCESS SPEED DRY ROAD SECTION,HYC9517,90,00:00:20,-3.753901,-38.63862,Naveen Andrews,2079.3,CHY10528,2019-08,Morning,11,Região Nordeste,Ceará,Caucaia,Rodovia Presidente Juscelino Kubitschek,2079.3,0.0,over 80
Black Box,99,2019-08-05,11:07:57,DRY ROAD PRE-INFRINGEMENT,221,DRY OVER SPEED PRE-INFRINGEMENT,HYC9517,80,00:00:01,-3.753811,-38.63844,Naveen Andrews,2079.3,CHY10528,2019-08,Morning,11,Região Nordeste,Ceará,Caucaia,Rodovia Presidente Juscelino Kubitschek,2079.4,0.1,60/80
Black Box,99,2019-08-05,11:08:16,DRY ROAD PRE-INFRINGEMENT,221,DRY OVER SPEED PRE-INFRINGEMENT,HYC9517,80,00:00:03,-3.752191,-38.63522,Naveen Andrews,2079.4,CHY10528,2019-08,Morning,11,Região Nordeste,Ceará,Caucaia,Rodovia Presidente Juscelino Kubitschek,2079.4,0.0,60/80
Black Box,99,2019-08-05,11:08:19,DRY SPEED EVENT,229,EXCESS SPEED DRY ROAD SECTION,HYC9517,81,00:00:03,-3.751922,-38.63467,Naveen Andrews,2079.4,CHY10528,2019-08,Morning,11,Região Nordeste,Ceará,Caucaia,Rodovia Presidente Juscelino Kubitschek,2079.4,0.0,over 80
Black Box,99,2019-08-05,11:08:21,DRY ROAD PRE-INFRINGEMENT,221,DRY OVER SPEED PRE-INFRINGEMENT,HYC9517,80,00:00:02,-3.75174,-38.63431,Naveen Andrews,2079.4,CHY10528,2019-08,Morning,11,Região Nordeste,Ceará,Caucaia,Rodovia Presidente Juscelino Kubitschek,2079.4,0.0,60/80
Black Box,99,2019-08-05,11:08:22,DRY SPEED EVENT,229,EXCESS SPEED DRY ROAD SECTION,HYC9517,81,00:00:01,-3.751649,-38.63414,Naveen Andrews,2079.4,CHY10528,2019-08,Morning,11,Região Nordeste,Ceará,Caucaia,Rodovia Presidente Juscelino Kubitschek,2079.4,0.0,over 80
Black Box,99,2019-08-05,11:08:23,DRY ROAD PRE-INFRINGEMENT,221,DRY OVER SPEED PRE-INFRINGEMENT,HYC9517,80,00:00:01,-3.751559,-38.63396,Naveen Andrews,2079.4,CHY10528,2019-08,Morning,11,Região Nordeste,Ceará,Caucaia,Rodovia Presidente Juscelino Kubitschek,2079.4,0.0,60/80
Black Box,99,2019-08-05,11:08:46,DRY ROAD PRE-INFRINGEMENT,221,DRY OVER SPEED PRE-INFRINGEMENT,HYC9517,80,00:00:01,-3.749669,-38.63027,Naveen Andrews,2079.4,CHY10528,2019-08,Morning,11,Região Nordeste,Ceará,Caucaia,Rodovia Presidente Juscelino Kubitschek,2167.0,87.6,60/80
Black Box,99,2019-08-05,10:59:45,DRY SPEED EVENT,229,EXCESS SPEED DRY ROAD SECTION,HYC9517,84,00:00:08,-3.746021,-38.62354,Naveen Andrews,2078.8,CHY10528,2019-08,Morning,10,Região Nordeste,Ceará,Caucaia,Rodovia Presidente Juscelino Kubitschek,2078.9,0.1,over 80
Black Box,99,2019-08-05,11:01:14,DRY ROAD PRE-INFRINGEMENT,221,DRY OVER SPEED PRE-INFRINGEMENT,HYC9517,80,00:00:01,-3.75304,-38.63737,Naveen Andrews,2078.9,CHY10528,2019-08,Morning,11,Região Nordeste,Ceará,Caucaia,Rodovia Presidente Juscelino Kubitschek,2079.3,0.4,60/80
Black Box,99,2019-08-06,09:21:43,SPOKEN ROTOGRAM,217,EXCESS SPEED DRY SPOKEN ROTOGRAM,PNZ5831,62,00:00:02,-2.671873,-44.29759,Naveen Andrews,11727.6,ZPN6842,2019-08,Morning,9,Região Nordeste,Maranhão,São Luís,Avenida Engenheiro Emiliano Macieira,11727.8,0.2,60/80
Black Box,99,2019-08-06,09:23:31,SPOKEN ROTOGRAM,217,EXCESS SPEED DRY SPOKEN ROTOGRAM,PNZ5831,62,00:00:02,-2.658398,-44.30255,Naveen Andrews,11727.8,ZPN6842,2019-08,Morning,9,Região Nordeste,Maranhão,São Luís,Avenida Engenheiro Emiliano Macieira,11815.4,87.6,60/80
Black Box,99,2019-08-09,14:39:18,TELEMETRY,236,ABRUPT BRAKE,OBG0440,0,00:00:00,-3.891517,-38.50115,Naveen Andrews,74831.7,GOB1451,2019-08,Afternoon,14,Região Nordeste,Ceará,Eusébio,Rua Francisca Martins,75545.8,714.1,0/20
Black Box,99,2019-08-10,09:51:40,TELEMETRY,236,ABRUPT BRAKE,PMZ7181,0,00:00:00,-7.154131,-48.20398,Andre 3000,38998.6,ZPM8192,2019-08,Morning,9,Região Norte,Tocantins,Araguaína,BR-153,38998.6,0.0,0/20
Black Box,99,2019-08-12,09:19:35,DRY SPEED EVENT,229,EXCESS SPEED DRY ROAD SECTION,NIM4233,82,00:00:01,-3.888379,-38.50176,Naveen Andrews,72446.8,MNI5244,2019-08,Morning,9,Região Nordeste,Ceará,Eusébio,Rodovia Estrada do Guarani,72449.5,2.7,over 80
Black Box,99,2019-08-13,06:44:41,TELEMETRY,237,DOWNHILL WITHOUT GEAR,HYM5432,0,00:00:11,-16.22395,-49.01207,Tyler Bachtel,74578.0,MHY6443,2019-08,Morning,6,Região Centro-Oeste,Goiás,Anápolis,BR-153,74578.0,0.0,0/20
Black Box,99,2019-08-13,10:30:55,TELEMETRY,237,DOWNHILL WITHOUT GEAR,HYM5432,0,00:00:14,-15.09563,-49.47387,Tyler Bachtel,74592.6,MHY6443,2019-08,Morning,10,Região Centro-Oeste,Goiás,Nova Glória,BR-153,74592.6,0.0,0/20
Black Box,99,2019-08-19,17:24:36,PRE-INFRINGEMENT RAIN,222,PRE-INFRINGEMENT OF EXCESS SPEED WITH RAIN,PNZ5831,60,00:00:06,-2.577704,-44.35282,Naveen Andrews,11815.4,ZPN6842,2019-08,Afternoon,17,Região Nordeste,Maranhão,São Luís,Avenida Engenheiro Emiliano Macieira,11823.2,7.8,40/60
Black Box,99,2019-08-26,09:48:38,TELEMETRY,236,ABRUPT BRAKE,HYM5432,0,00:00:00,-10.14536,-48.88634,Tyler Bachtel,74829.0,MHY6443,2019-08,Morning,9,Região Norte,Tocantins,Paraíso do Tocantins,Avenida Transbrasiliana,74829.0,0.0,0/20
